company,claim,filing,source_file,evidence,bm25_score,dense_score,cross_score,cross_label,article_title,url,date,label
Apple,"In 2023, the 16.5 gigawatts of renewable energy procured by suppliers and online in Apple’s supply chain generated 25.5 million megawatt-hours of clean energy, avoiding 18.5 million metric tons of greenhouse gas emissions — a 6.5 percent increase over 2022.",2024,Apple_2024_report.txt,"It “will lead to a net increase in GHG [greenhouse gas] emissions of 568,727 tonnes CO₂е [carbon dioxide equivalent] per year during the operational phase”, planning documents examined by the Guardian show.",0,0.5214567184448242,0.9995399713516235,entailment,"Google’s huge new Essex datacentre to emit 570,000 tonnes of CO2 a year",https://www.theguardian.com/technology/2025/sep/15/google-datacentre-kent-co2-thurrock-uk-ai,,good
Ford,"In 2022, Ford implemented energy efficiency projects at multiple manufacturing locations in North America with a total implementation cost of more than $26 million; these projects are expected to reduce energy consumption by more than 21,000 MWh and GHG emissions by more than 12,400 metric tonnes.",2025,Ford_2025_report.txt,"It “will lead to a net increase in GHG [greenhouse gas] emissions of 568,727 tonnes CO₂е [carbon dioxide equivalent] per year during the operational phase”, planning documents examined by the Guardian show.",0,0.3850802779197693,0.999535322189331,entailment,"Google’s huge new Essex datacentre to emit 570,000 tonnes of CO2 a year",https://www.theguardian.com/technology/2025/sep/15/google-datacentre-kent-co2-thurrock-uk-ai,,good
Apple,"In 2024, the 17.8 gigawatts of renewable energy procured by suppliers and online in Apple’s supply chain generated 31.3 million megawatt-hours of clean energy, avoiding 21.8 million metric tons of greenhouse gas emissions — a 17.4 percent increase over 2023.",2025,Apple_2025_report.txt,"It “will lead to a net increase in GHG [greenhouse gas] emissions of 568,727 tonnes CO₂е [carbon dioxide equivalent] per year during the operational phase”, planning documents examined by the Guardian show.",0,0.5265535712242126,0.9995104074478149,entailment,"Google’s huge new Essex datacentre to emit 570,000 tonnes of CO2 a year",https://www.theguardian.com/technology/2025/sep/15/google-datacentre-kent-co2-thurrock-uk-ai,,good
Shell,"[A] Subject to completion of the sale of SPDC Shell’s strategy to 2030 continued 26 Shell Energy Transition Strategy 2024 Transforming our businesses to offer more low-carbon solutions while reducing sales of oil products We are reshaping our Downstream, Renewables and Energy Solutions businesses with a more focused geographic portfolio of products to deliver more value with less emissions.",2025,Shell_2025_report.txt,It added that “no talks are taking place”.,0,0.07048291712999344,0.999473512172699,entailment,Shell has ‘no intention’ of making offer to buy BP after £60bn takeover rumours,https://www.theguardian.com/business/2025/jun/26/shell-bp-takeover-rumours-no-intention,,good
Apple,We’ve focused our efforts to source renewables around several key pillars: • Creating new renewable energy projects • Undertaking projects that deliver clear benefits to local communities • Supporting renewable energy innovations Creating new projects Apple-created renewable sources account for about 91 percent of the renewable electricity that our facilities use — currently around 1.6 gigawatts.,2024,Apple_2024_report.txt,Auchincloss said BP would instead focus on strengthening its production portfolio by starting up 10 large-scale oil and gas projects by 2027 and a further eight to 10 projects by the end of the decade.,0,0.3525228798389435,0.9994433522224426,entailment,BP blames ‘misplaced’ faith in green transition for its renewed focus on fossil fuels,https://www.theguardian.com/business/2025/feb/26/bp-oil-and-gas-spending-green-energy-scale-back,,good
Nestle,Part 2 – Environmental Disclosures Non-Financial Statement 2024 38 Energy consumption and mix Renewable electricity sourced in Nestlé's manufacturing sites at year end (percentage) 91.9 95.3 100 2023 2024 2025 Target year Nestlé continued to progress toward its target: aim to source 100% renewable electricity in all its manufacturing sites by 2025.,2025,Nestle_2025_report.txt,"That’s not just economic – it’s a climate justice issue.” For campaigners such as Billy, a continued focus on fossil fuels is shortsighted.",0,0.3554925322532654,5.30944780621212e-05,neutral,‘A defining moment’: Trinidad and Tobago at a crossroads as oil runs out,https://www.theguardian.com/global-development/2025/sep/19/trinidad-tobago-economy-oil-gas-fossil-fuels-climate-green-transition,,bad
Google,Graph 0 36% 41% 34% 40% 2021 2022 2023 2024 Year Legend Percentage of recycled or renewable material in plastic used across our consumer hardware product portfolio 40 30 Percentage 20 10 Plastic-free packaging We aimed to make product packaging 100% plastic-free by 2025.,2025,Google_2025_report.txt,This could mean lower prices for consumers.,0,0.18320855498313904,5.177520142751746e-05,neutral,Wild co-founders ‘land £100m’ from sale of natural deodorant maker,https://www.theguardian.com/business/2025/apr/01/wild-co-founders-sale-of-natural-deodorant-maker-unilever,,bad
Apple,"Carbon sequestration Nature-based solutions To reach our goal of carbon neutrality for our entire carbon footprint by 2030, in fiscal year 2024 we continued to allocate green bond proceeds to invest in high-quality carbon removal projects through Apple’s Restore Fund, with the aim of addressing the portion of emissions that we’re not yet able to avoid through other methods.",2025,Apple_2025_report.txt,"Proponents of SAF believe it could be crucial for airlines to cut their carbon emissions in line with global climate targets, although critics argue it is not a realistic alternative given the limited timescale to prevent rising emissions from creating a climate disaster.",0,0.34635764360427856,4.932070805807598e-05,neutral,Shell scraps construction of biofuels plant in Rotterdam,https://www.theguardian.com/business/2025/sep/03/shell-scraps-construction-of-biofuels-plant-in-rotterdam,,bad
Amazon,"We have identified a list of the highest-emitting suppliers directly supporting our operations, and expect those suppliers, who collectively contribute more than 50% of emissions globally to Amazon’s Scope 3 footprint, to provide a plan for how they will decarbonize their operations and demonstrate real progress over time.",2024,Amazon_2024_report.txt,"At Amazon, the report notes the company’s size and role as the fifth largest employer in the world and the largest online retailer and cloud computing service, has had a profound impact on the industries and communities it operates within.",0,0.46285495162010193,4.28797175118234e-05,neutral,"Amazon, Tesla and Meta among world’s top companies undermining democracy – report",https://www.theguardian.com/business/2024/sep/23/amazon-tesla-meta-climate-change-democracy,,bad
Amazon,"AWS Water Use Effectiveness 2021 2022 2023 2024 % Change from 2023 Water use effectiveness (L/kWh) 0.25 0.19 0.18 0.15 17% Amazon Grocery, Logistics, and Corporate Buildings Amazon seeks to implement water efficiency best practices across our global logistics and grocery operations, along with our corporate offices.",2025,Amazon_2025_report.txt,That’s very important.,0,0.046846844255924225,4.2680079786805436e-05,neutral,Stock markets rise to record highs and Apple touches $4tn market value for first time – as it happened,https://www.theguardian.com/business/live/2025/oct/28/uk-productivity-downgrade-tax-rise-speculation-reeves-hsbc-pharma-business-live,,bad
